owner.login_name	owner.type	open_issues_count	has_wiki	has_downloads	has_projects	archived	size	fork	owner_popularity	contributor_popularity	average_commit_char_count	num_contributors	num_pull_requests	num_releases	commits	created_time	updated_time
puyo_wmmixer-oss4	1	0	1	1	1	0	136	0	0	0	33.5	1	0	0	2	20100404	20170317
pvernaza_learch-generic	1	0	1	1	1	0	208	0	0	0	39.285714285714285	1	0	0	7	20130812	20140208
pvernaza_learch-ros-ldd-interface	1	0	1	1	1	0	108	0	0	0	15.5	1	0	0	2	20130921	20140507
pvictorio_CplusplusHW	1	0	1	1	1	0	8	0	0	0	16.333333333333332	1	0	0	6	20170811	20170811
pvizeli_CmdParser	1	5	0	1	1	0	39	0	30	28	77.03333333333333	5	1	5	44	20160527	20181021
pvizeli_GPSDog	1	0	1	1	1	0	14962	0	30	0	32.4	1	0	1	31	20151126	20160111
pvpgn_ExtraWork	0	0	1	1	1	0	322	0	0	0	48.2	2	0	3	25	20140830	20180107
pwaldron_OptimalOrder	1	0	1	1	1	0	140	0	0	0	14.5	1	0	0	2	20150927	20150927
pwasiewicz_academic-helpers	1	0	1	1	1	0	3	0	0	0	30.6	1	0	0	5	20170315	20170315
pxllzy_QuickConfiguration	1	0	1	1	1	0	692	0	0	0	20.666666666666668	1	0	0	3	20150904	20150905
pxuejin_JumpEscape	1	0	1	1	1	0	486	0	0	0	11.0	1	0	0	2	20161221	20161228
pygs_Gardenis	1	0	1	1	1	0	20	0	0	0	18.233333333333334	1	0	0	49	20170217	20170218
pylaterreur_static_field_mapper	1	0	1	1	1	0	136	0	0	0	31.0	1	0	0	3	20141209	20141212
pylonman_DueFastDIO	1	0	1	1	1	0	5	0	0	0	16.444444444444443	1	0	0	9	20160202	20160203
pylonman_simple_gpio_class	1	0	1	1	1	0	17	0	0	0	38.36842105263158	1	0	0	19	20170719	20180221
pylover_deleteme	1	0	1	1	1	0	1	0	0	0	14.333333333333334	1	0	0	6	20170619	20170619
pyrodogg_FooSnarl	1	2	0	1	1	0	924	0	0	0	46.43333333333333	1	0	1	56	20110929	20151116
pysysops_setbpp	1	0	1	1	1	0	132	0	0	0	16.5	2	0	0	4	20150527	20150527
pz325_sublime-cpp-project-boilerplate	1	0	1	1	1	0	504	0	0	0	20.75	1	0	0	8	20131109	20131110
pzavolinsky_NetfilterPacketManglingPipeline	1	0	1	1	1	0	132	0	0	0	19.0	1	0	0	4	20140831	20151127
pzhp_lua_interpretor	1	0	1	1	1	0	192	0	0	0	21.6	1	0	0	5	20141026	20180522
q191201771_design-pattern	1	0	1	1	1	0	30	0	0	0	6.033333333333333	1	0	0	36	20170529	20170529
q6r_IDAProPatterns	1	0	1	1	1	0	532	0	0	0	30.333333333333332	1	0	0	3	20130727	20180126
qaxml_cppgrapht	1	0	1	1	1	0	49	0	0	0	15.384615384615385	1	0	0	13	20151123	20151123
qazeeassad_cpp	1	0	1	1	1	0	152	0	0	0	63.2	1	0	0	5	20151007	20151011
qbasicer_mprisserv	1	0	1	1	1	0	132	0	0	0	53.5	1	0	0	4	20110417	20130101
qcerasmus_Genetic_Algorithm	1	0	1	1	1	0	156	0	0	0	41.25	1	0	0	8	20140530	20140602
qcerasmus_VirtualCPU	1	0	1	1	1	0	140	0	0	0	32.2	1	0	0	5	20141014	20141014
qcerasmus_VirtualFileDirectory	1	0	1	1	1	0	144	0	0	0	29.166666666666668	1	0	0	6	20141014	20141014
qdii_qlog	1	0	0	1	1	0	360	0	0	0	43.9	1	0	0	87	20120907	20140114
qguv_libm5451	1	0	1	1	1	0	33	0	0	0	39.25	2	0	0	28	20151017	20151017
qhris_Muses72320	1	0	1	1	1	0	140	0	0	0	15.0	1	0	1	1	20161227	20180316
